Designator	Part	Midx	Midy	Refx	Refy	Padx	Pady	TB	Rotation
C2-.1uF	Cap-small	2.250	1.150	2.300	1.150	2.300	1.150	Top	-90.0
C4-.1uF	Cap-small	1.875	0.600	1.825	0.600	1.825	0.600	Top	0.0
C3-.1uF	Cap-small	2.175	0.750	2.225	0.750	2.225	0.750	Top	90.0
C1-.1uF	Cap-small	2.100	1.050	2.150	1.050	2.150	1.050	Top	90.0
C5-.1uF	Cap-small	1.650	0.375	1.600	0.375	1.600	0.375	Top	180.0
A2	molex-KK-2	1.225	1.725	1.275	1.725	1.275	1.725	Top	90.0
CR	molex-KK-2	1.450	1.725	1.500	1.725	1.500	1.725	Top	90.0
C6-47uF	electo-cap	1.865	0.400	1.825	0.400	1.825	0.400	Top	0.0
2313	dip-20-oval	1.025	0.350	1.475	0.500	1.475	0.500	Top	90.0
MAX202	dip-16-oval	1.675	0.600	2.025	0.750	2.025	0.750	Top	90.0
KEYBOARD	dip-16-oval	0.150	0.500	0.500	0.650	0.500	0.650	Top	90.0
U2	jumper	0.125	0.450	0.775	0.400	0.775	0.400	Top	90.0
